@RELATION neu_predicate

@ATTRIBUTE nrc_0 numeric
@ATTRIBUTE nrc_1 numeric
@ATTRIBUTE nrc_2 numeric
@ATTRIBUTE nrc_3 numeric
@ATTRIBUTE nrc_4 numeric
@ATTRIBUTE nrc_5 numeric
@ATTRIBUTE nrc_6 numeric
@ATTRIBUTE nrc_7 numeric
@ATTRIBUTE punc_0 numeric
@ATTRIBUTE punc_1 numeric
@ATTRIBUTE unigram_people numeric
@ATTRIBUTE unigram_feel numeric
@ATTRIBUTE unigram_person numeric
@ATTRIBUTE unigram_stop numeric
@ATTRIBUTE unigram_wan numeric
@ATTRIBUTE unigram_lost numeric
@ATTRIBUTE unigram_amazing numeric
@ATTRIBUTE unigram_baby numeric
@ATTRIBUTE unigram_girl numeric
@ATTRIBUTE unigram_true numeric
@ATTRIBUTE unigram_understand numeric
@ATTRIBUTE unigram_forever numeric
@ATTRIBUTE unigram_hurt numeric
@ATTRIBUTE unigram_forget numeric
@ATTRIBUTE unigram_profile numeric
@ATTRIBUTE unigram_knew numeric
@ATTRIBUTE unigram_truth numeric
@ATTRIBUTE unigram_ill numeric
@ATTRIBUTE unigram_stuck numeric
@ATTRIBUTE unigram_fight numeric
@ATTRIBUTE unigram_broken numeric
@ATTRIBUTE unigram_cute numeric
@ATTRIBUTE unigram_strong numeric
@ATTRIBUTE unigram_speak numeric
@ATTRIBUTE unigram_trust numeric
@ATTRIBUTE unigram_step numeric
@ATTRIBUTE unigram_shut numeric
@ATTRIBUTE unigram_count numeric
@ATTRIBUTE unigram_lonely numeric
@ATTRIBUTE unigram_swear numeric
@ATTRIBUTE unigram_color numeric
@ATTRIBUTE unigram_meant numeric
@ATTRIBUTE unigram_fix numeric
@ATTRIBUTE unigram_relationship numeric
@ATTRIBUTE unigram_confused numeric
@ATTRIBUTE unigram_chat numeric
@ATTRIBUTE unigram_sexy numeric
@ATTRIBUTE unigram_deserve numeric
@ATTRIBUTE unigram_aint numeric
@ATTRIBUTE unigram_attack numeric
@ATTRIBUTE unigram_ugly numeric
@ATTRIBUTE unigram_purple numeric
@ATTRIBUTE unigram_wide numeric
@ATTRIBUTE unigram_judge numeric
@ATTRIBUTE unigram_wanting numeric
@ATTRIBUTE unigram_forgive numeric
@ATTRIBUTE unigram_freak numeric
@ATTRIBUTE unigram_treat numeric
@ATTRIBUTE unigram_rainbow numeric
@ATTRIBUTE unigram_hurry numeric
@ATTRIBUTE unigram_poke numeric
@ATTRIBUTE unigram_ninja numeric
@ATTRIBUTE unigram_disease numeric
@ATTRIBUTE unigram_bibber numeric
@ATTRIBUTE unigram_randomly numeric
@ATTRIBUTE unigram_refuse numeric
@ATTRIBUTE unigram_potatoes numeric
@ATTRIBUTE unigram_bleeding numeric
@ATTRIBUTE unigram_dangerous numeric
@ATTRIBUTE unigram_forgetting numeric
@ATTRIBUTE unigram_hyper numeric
@ATTRIBUTE unigram_flower numeric
@ATTRIBUTE unigram_proof numeric
@ATTRIBUTE unigram_inspiration numeric
@ATTRIBUTE unigram_highly numeric
@ATTRIBUTE unigram_ego numeric
@ATTRIBUTE unigram_relief numeric
@ATTRIBUTE unigram_numb numeric
@ATTRIBUTE unigram_cheat numeric
@ATTRIBUTE unigram_grandparent numeric
@ATTRIBUTE unigram_target numeric
@ATTRIBUTE unigram_bullet numeric
@ATTRIBUTE unigram_worrying numeric
@ATTRIBUTE unigram_sword numeric
@ATTRIBUTE unigram_disappointment numeric
@ATTRIBUTE unigram_shaking numeric
@ATTRIBUTE unigram_bump numeric
@ATTRIBUTE unigram_sensitive numeric
@ATTRIBUTE unigram_cage numeric
@ATTRIBUTE unigram_exception numeric
@ATTRIBUTE unigram_counter numeric
@ATTRIBUTE unigram_puzzle numeric
@ATTRIBUTE unigram_hiccup numeric
@ATTRIBUTE unigram_spite numeric
@ATTRIBUTE unigram_sherlock numeric
@ATTRIBUTE unigram_native numeric
@ATTRIBUTE unigram_adductive numeric
@ATTRIBUTE unigram_bond numeric
@ATTRIBUTE unigram_gaming numeric
@ATTRIBUTE unigram_sucking numeric
@ATTRIBUTE unigram_frost numeric
@ATTRIBUTE unigram_hoodie numeric
@ATTRIBUTE unigram_squeeze numeric
@ATTRIBUTE unigram_pounding numeric
@ATTRIBUTE unigram_hernia numeric
@ATTRIBUTE unigram_abyss numeric
@ATTRIBUTE unigram_jealousy numeric
@ATTRIBUTE unigram_conscience numeric
@ATTRIBUTE unigram_bonding numeric
@ATTRIBUTE unigram_agony numeric
@ATTRIBUTE unigram_yees numeric
@ATTRIBUTE unigram_lipstick numeric
@ATTRIBUTE unigram_uncertainty numeric
@ATTRIBUTE unigram_react numeric
@ATTRIBUTE unigram_sie numeric
@ATTRIBUTE unigram_nan numeric
@ATTRIBUTE unigram_urs numeric
@ATTRIBUTE unigram_sublime numeric
@ATTRIBUTE unigram_downside numeric
@ATTRIBUTE unigram_neurotic numeric
@ATTRIBUTE unigram_evanescence numeric
@ATTRIBUTE unigram_vile numeric
@ATTRIBUTE bigram_total_invalid numeric
@ATTRIBUTE bigram_wan_na numeric
@ATTRIBUTE bigram_laugh_love numeric
@ATTRIBUTE bigram_na_go numeric
@ATTRIBUTE bigram_smile_love numeric
@ATTRIBUTE bigram_give_up numeric
@ATTRIBUTE bigram_know_laugh numeric
@ATTRIBUTE bigram_time_laugh numeric
@ATTRIBUTE bigram_smile_laugh numeric
@ATTRIBUTE bigram_make_laugh numeric
@ATTRIBUTE bigram_going_back numeric
@ATTRIBUTE bigram_shut_up numeric
@ATTRIBUTE bigram_see_people numeric
@ATTRIBUTE bigram_never_know numeric
@ATTRIBUTE bigram_very_much numeric
@ATTRIBUTE bigram_laugh_much numeric
@ATTRIBUTE bigram_laugh_think numeric
@ATTRIBUTE bigram_grow_up numeric
@ATTRIBUTE bigram_fun_laugh numeric
@ATTRIBUTE bigram_laugh_still numeric
@ATTRIBUTE bigram_laugh_never numeric
@ATTRIBUTE bigram_always_laugh numeric
@ATTRIBUTE bigram_laugh_feel numeric
@ATTRIBUTE bigram_fun_smile numeric
@ATTRIBUTE bigram_being_laugh numeric
@ATTRIBUTE bigram_life_love numeric
@ATTRIBUTE bigram_love_people numeric
@ATTRIBUTE bigram_sad_laugh numeric
@ATTRIBUTE bigram_walk_away numeric
@ATTRIBUTE bigram_people_rate numeric
@ATTRIBUTE bigram_finally_finished numeric
@ATTRIBUTE bigram_early_morning numeric
@ATTRIBUTE bigram_people_really numeric
@ATTRIBUTE bigram_hurry_up numeric
@ATTRIBUTE bigram_amazing_laugh numeric
@ATTRIBUTE bigram_know_smile numeric
@ATTRIBUTE bigram_laugh_finally numeric
@ATTRIBUTE bigram_laugh_baby numeric
@ATTRIBUTE time_slot_0_6 numeric
@ATTRIBUTE time_slot_6_11 numeric
@ATTRIBUTE time_slot_11_16 numeric
@ATTRIBUTE time_slot_16_21 numeric
@ATTRIBUTE gender numeric
@ATTRIBUTE seeded_lda_0 numeric
@ATTRIBUTE seeded_lda_1 numeric
@ATTRIBUTE seeded_lda_2 numeric
@ATTRIBUTE seeded_lda_3 numeric
@ATTRIBUTE seeded_lda_4 numeric
@ATTRIBUTE seeded_lda_5 numeric
@ATTRIBUTE seeded_lda_6 numeric
@ATTRIBUTE seeded_lda_7 numeric
@ATTRIBUTE seeded_lda_8 numeric
@ATTRIBUTE seeded_lda_9 numeric
@ATTRIBUTE class {0, 1}

@DATA
6,6,2,6,42,10,27,15,0,0,6,3,2,2,0,0,2,0,0,2,2,0,1,0,0,1,0,2,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,16,25,8,0,19,15,11,5,2,0,20,15,7,0,0
7,7,6,7,29,4,27,8,0,0,8,12,0,1,2,0,0,1,1,0,3,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,21,7,108,1,22,15,4,22,8,0,8,13,2,0,0
4,8,5,8,58,4,53,7,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,10,34,1,19,25,13,24,6,0,6,3,0,0,0
5,23,2,20,51,7,32,24,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,1,0,1,18,10,12,21,11,0,4,17,2,0,0
18,24,18,18,45,15,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,32,27,2,15,3,0,7,6,1,0,0
4,10,4,11,35,8,28,12,0,0,6,3,2,2,0,8,1,1,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,33,9,31,1,16,17,7,10,7,1,20,14,2,0,0
8,15,4,8,44,8,29,19,0,0,14,4,2,1,0,1,10,1,0,3,0,1,2,1,0,0,1,0,0,1,5,0,3,0,1,1,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,75,64,105,0,24,13,17,14,6,0,16,6,1,0,0
4,18,3,4,52,4,27,17,0,0,0,2,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,11,18,27,0,29,17,18,18,9,0,2,0,0,2,0
14,14,2,3,30,4,24,15,0,0,4,2,0,2,4,0,3,1,0,0,0,0,0,2,0,1,6,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,62,16,38,0,32,20,4,6,2,0,2,5,26,0,0
3,3,3,3,73,11,61,11,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,2,1,16,23,42,1,1,1,2,4,3,3,0
